ASIN,Price,Name,URL
B07N9M1MF9,6.99,"YORK Dark Chocolate Peppermint Patties Candy, Easter, 35.2 oz Bulk Party Bag",https://www.woot.com/offers/york-dark-chocolate-peppermint-patties-35-2-oz-1?ref=mwj_cd_deal_1
B07ZZVX1F2,19.99,Fire TV Stick with Alexa Voice Remote (includes TV controls) | HD streaming device | 2020 release,https://www.woot.com/offers/fire-tv-stick-with-alexa-voice-remote-2020-release-15?ref=mwj_cd_deal_2
B002Y1Z80U,6.99,"Ferrero Rocher Fine Hazelnut Milk Chocolate, 24 Count, Chocolate Candy Gift Box, 10.5 oz",https://www.woot.com/offers/ferrero-rocher-hazelnut-24ct-2?ref=mwj_cd_deal_3
B08NRBRZH4,12.99,Samsung 25W USB-C Super Fast Wall Charger (USB-C cable is NOT included),https://www.woot.com/offers/samsung-25w-usb-c-super-fast-wall-charger-9?ref=mwj_cd_deal_4
B00V54CP0I,7.99,"Ghirardelli Assorted Squares XL Bag, 15.77 Ounce",https://www.woot.com/offers/ghirardelli-assorted-squares-xl-bag-1?ref=mwj_cd_deal_5
B01965DY48,13.99,"Snickers, Twix, 3 Musketeers & Milk Way Minis Size Chocolate Candy Variety Mix, 67.2-Ounce 240 Pieces",https://www.woot.com/offers/snickers-twix-3-musketeers-milk-way-240-pieces-1?ref=mwj_cd_deal_6
B00A8MZ7IA,14.99,"Chemical Guys Professional Grade 16"" x 16"" Premium Microfiber Towels in Gold (12-Pack) (Model: MIC_506_12)",https://www.woot.com/offers/chemical-guys-premium-microfiber-towels-7?ref=mwj_cd_deal_7
B000IXWCR8,17.99,"HERSHEY'S Milk Chocolate with Almonds Candy, Bulk, 1.45 oz Bars (36 ct)",https://www.woot.com/offers/hersheys-milk-chocolate-with-almonds-36-count-1?ref=mwj_cd_deal_8
null,18.99,"Men's 3-Pack Assorted French Terry Printed Shorts (Sizes, S-2XL)",https://www.woot.com/offers/3pk-mens-printed-french-terry-shorts?ref=mwj_cd_deal_9
B099P9G7Q5,27.99,"Emergency Radio – 6000 Hand Crank Solar Radio OMEW NOAA Weather Radio, Survival Radios Portable Am Fm with Flashlight, Motion Sensor Lamp, SOS Alarm for Emergencies and Home Supplies",https://www.woot.com/offers/omew-noaa-weather-hand-crank-solar-radio?ref=mwj_cd_deal_10
B079QHML21,24.99,Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby Vision | 2018 release,https://www.woot.com/offers/fire-tv-stick-4k-streaming-device-with-alexa-voice-remote-11?ref=mwj_cd_deal_11
B08WG4HKKY,1579.99,"LG OLED C1 Series 65” Alexa Built-in 4k Smart TV (3840 x 2160), 120Hz Refresh Rate, AI-Powered 4K, Dolby Cinema, WiSA Ready, Gaming Mode (OLED65C1PUB, 2021)",https://www.woot.com/offers/lg-oled-c1-series-65-alexa-built-in-4k-smart-tv-new-6?ref=mwj_cd_deal_12
B000IXUK8G,18.99,"REESE'S Milk Chocolate Peanut Butter Cups Candy, Bulk Easter, 1.5 oz Packs (36 Count)",https://www.woot.com/offers/reeses-peanut-butter-cups-36-count-2?ref=mwj_cd_deal_1
B07W46FC3N,12.99,"Kinder Bueno Milk Chocolate and Hazelnut Cream Candy Bar, Great Mother's Day Gift, 30 Packs, 2 Individually Wrapped 1.5 oz Bars Per Pack",https://www.woot.com/offers/kinder-bueno-kinder-bueno-milk-chocolate-and-hazelnut-cr?ref=mwj_cd_deal_2
B00U3WWWO2,15.99,"HERSHEY'S KISSES Pink Foils Milk Chocolate Candy, Bulk, 66.7 oz Bulk Bag",https://www.woot.com/offers/hersheys-kisses-pink-foils-66-7-oz-bulk-bag-1?ref=mwj_cd_deal_3
B07YBK6JY3,179.0,Shark IQ Robot Vacuum RV1001AE/UR1000SR with Self-Empty Base and Smart Mapping (Refurbished),https://www.woot.com/offers/shark-iq-robot-vacuum-w-self-empty-base-3?ref=mwj_cd_deal_4
B07CXG6C9W,79.99,Kindle Paperwhite – (Previous Generation - 2018 Release) Waterproof with more than 2x the Storage – Ad-Supported,https://www.woot.com/offers/kindle-paperwhite-2018-model-10th-gen-5?ref=mwj_cd_deal_5
B08ZK5WDWN,37.99,Vtopmart 24-Piece Plastic Airtight Containers,https://www.woot.com/offers/vtopmart-24-piece-plastic-airtight-containers-3?ref=mwj_cd_deal_6
B00BEV049Q,17.99,"Solo New York Ace Slim Brief Laptop Briefcase, Black",https://www.woot.com/offers/solo-new-york-ace-slim-brief-laptop-briefcase-black?ref=mwj_cd_deal_7
