ASIN,Price,Name,URL
B0863BQJMS,139.0,Apple Magic Keyboard for iPad Pro 11-inch (3rd Generation and iPad Air - 4th Generation) - US English - Black (Refurbished),https://www.woot.com/offers/apple-magic-keyboard-for-11-ipad-pro-1?ref=mwj_cd_deal_1
null,null - unknown error,null,https://www.woot.com/offers/moisturizing-facial-serum-3?ref=mwj_cd_deal_1
B07ZZVX1F2,19.99,Fire TV Stick with Alexa Voice Remote (includes TV controls) | HD streaming device | 2020 release,https://www.woot.com/offers/fire-tv-stick-with-alexa-voice-remote-2020-release-15?ref=mwj_cd_deal_3
B08NRBRZH4,12.99,Samsung 25W USB-C Super Fast Wall Charger (USB-C cable is NOT included),https://www.woot.com/offers/samsung-25w-usb-c-super-fast-wall-charger-9?ref=mwj_cd_deal_4
B09CDR8KHX,159.99,"Apple Magic Keyboard for 12.9"" iPad Pro (3rd Gen, 4th Gen, & 5th Gen) - Black (Refurbished)",https://www.woot.com/offers/apple-magic-keyboard-for-12-9-ipad-pro-1?ref=mwj_cd_deal_5
B08QXB9BH5,116.99,Ninja CREAMi NC301/CN305A 7-Program Ice Cream Maker,https://www.woot.com/offers/ninja-creami-7-program-ice-cream-maker?ref=mwj_cd_deal_6
B079QHML21,24.99,Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby Vision | 2018 release,https://www.woot.com/offers/fire-tv-stick-4k-streaming-device-with-alexa-voice-remote-11?ref=mwj_cd_deal_7
B0933BVK6T,26.99,Apple AirTag (1pk or 4pk),https://www.woot.com/offers/apple-airtag-1pk-or-4pk-5?ref=mwj_cd_deal_8
B08WG4HKKY,1579.99,"LG OLED C1 Series 65” Alexa Built-in 4k Smart TV (3840 x 2160), 120Hz Refresh Rate, AI-Powered 4K, Dolby Cinema, WiSA Ready, Gaming Mode (OLED65C1PUB, 2021)",https://www.woot.com/offers/lg-oled-c1-series-65-alexa-built-in-4k-smart-tv-new-6?ref=mwj_cd_deal_9
B08NWHFX2S,9.99,Primula Burke Deluxe Cold Brew 1.6-qt. Coffee Maker,https://www.woot.com/offers/primula-burke-deluxe-cold-brew-coffee-maker-1?ref=mwj_cd_deal_10
B07YBK6JY3,179.0,Shark IQ Robot Vacuum RV1001AE/UR1000SR with Self-Empty Base and Smart Mapping (Refurbished),https://www.woot.com/offers/shark-iq-robot-vacuum-w-self-empty-base-3?ref=mwj_cd_deal_11
B082T6J4RQ,6.99,"Amazon Basics USB-A to Lightning Cable Cord, MFi Certified Charger for Apple iPhone, iPad: Your Choice",https://www.woot.com/offers/iphone-lightning-cable-cord-your-choice?ref=mwj_cd_deal_12
B07HZJ64WD,39.99,"Echo Show 5 (1st Gen, 2019 release) -- Smart display with Alexa – stay connected with video calling - Sandstone (NEW)",https://www.woot.com/offers/echo-show-5-compact-smart-display-with-alexa-new?ref=mwj_cd_deal_1
B07CXG6C9W,79.99,Kindle Paperwhite – (Previous Generation - 2018 Release) Waterproof with more than 2x the Storage – Ad-Supported,https://www.woot.com/offers/kindle-paperwhite-2018-model-10th-gen-5?ref=mwj_cd_deal_2
B07C41PLML,12.99,"Amazon Basics Fade-Resistant Cotton Bath Sheet, 2-Pack: Your Choice of Color (Gray or Black)",https://www.woot.com/offers/100-cotton-bath-sheet-2-pack-your-choice?ref=mwj_cd_deal_5
